car_name,registration_year,insurance_validity,fuel_type,ownsership,transmission,manufacturing_year,seats,kms_driven,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs),short_carname
2018 Mercedes-Benz S-Class Maybach S500,2018,Comprehensive,Petrol,First Owner,Automatic,2018,4.0,40000.0,7.81,4663.0,459.0,1.09,Mercedes-Benz S-Class
2010 Maruti Alto 800 LXi BSIII,2010,Comprehensive,Petrol,Second Owner,Manual,2010,5.0,77684.0,796.0,463.0,62.0,1.54,Maruti Alto
2021 Audi Q5 Technology BSVI,2022,Third Party,Petrol,First Owner,Automatic,2021,5.0,22900.0,13.47,1984.0,24559.0,54.8,Audi Q5
2014 Hyundai Grand i10 Sportz,2014,Comprehensive,Petrol,Second Owner,Manual,2014,5.0,74846.0,18.9,1197.0,82.0,3.1,Hyundai Grand
2022 Toyota Glanza S,2022,Comprehensive,Petrol,First Owner,Manual,2022,5.0,4500.0,22.35,1197.0,8850.0,7.55,Toyota Glanza
2012 Hyundai i20 Magna,2012,Comprehensive,Petrol,Third Owner,Manual,2012,5.0,97722.0,18.5,1197.0,805200.0,2.27,Hyundai i20
2023 Jeep Wrangler Rubicon,2023,Third Party,Petrol,First Owner,Automatic,2023,5.0,9000.0,12.1,1998.0,26530.0,70.0,Jeep Wrangler
2020 Mercedes-Benz AMG GLE 53 Coupe,2020,Third Party,Petrol,First Owner,Automatic,2020,5.0,19000.0,8.9,2999.0,435.0,78.99,Mercedes-Benz AMG
2015 Honda City i VTEC CVT VX,2015,Comprehensive,Petrol,First Owner,Automatic,2015,5.0,79683.0,18.0,1497.0,1173.0,6.35,Honda City
2022 Maruti Swift Dzire VXI AT,2022,Comprehensive,Petrol,First Owner,Automatic,2022,5.0,26000.0,22.61,1197.0,8850.0,7.95,Maruti Swift
2016 BMW X1 sDrive 20d xLine,2016,Third Party,Diesel,Second Owner,Automatic,2016,5.0,70000.0,20.68,1995.0,188.0,15.5,BMW X1
2019 Kia Seltos GTX Plus DCT,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,85540.0,16.5,1353.0,13808.0,13.86,Kia Seltos
2023 Mahindra XUV300 W6 Turbo,2023,Third Party,Petrol,First Owner,Manual,2023,5.0,10000.0,1197.0,12873.0,230.0,11.7,Mahindra XUV300
2019 Maruti Baleno Alpha,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,50170.0,21.01,1197.0,8180.0,6.87,Maruti Baleno
2020 BMW X7 xDrive30d DPE Signature,2020,Comprehensive,Diesel,First Owner,Automatic,2020,7.0,44000.0,13.38,2993.0,26150.0,98.5,BMW X7
2022 Mercedes-Benz C-Class Progressive C 220d,2022,Comprehensive,Diesel,First Owner,Automatic,2022,5.0,4000.0,12.6,1950.0,194.0,56.75,Mercedes-Benz C-Class
2015 Maruti Wagon R VXi BSII,2015,Comprehensive,Petrol,Second Owner,Manual,2015,5.0,37163.0,998.0,671.0,90.0,3.18,Maruti Wagon
2022 MG Hector Sharp CVT,2022,Third Party,Petrol,First Owner,Automatic,2022,5.0,21003.0,1451.0,141.0,250.0,18.75,MG Hector
2018 BMW X3 xDrive 20d Luxury Line,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,49000.0,16.55,1995.0,1877.0,39.0,BMW X3
2011 Maruti A-Star AT VXI,2011,Comprehensive,Petrol,Second Owner,Automatic,2011,5.0,89057.0,16.98,998.0,661.0,2.26,Maruti A-Star
2021 Mercedes-Benz C-Class Progressive C 200,2021,Comprehensive,Petrol,First Owner,Automatic,2021,5.0,12000.0,11.9,1950.0,20115.0,44.5,Mercedes-Benz C-Class
2022 Maruti Vitara Brezza VXI AT,2022,Comprehensive,Petrol,First Owner,Automatic,2022,5.0,11000.0,18.76,1462.0,10326.0,9.99,Maruti Vitara
2016 Honda City i VTEC VX Option BL,2016,Comprehensive,Petrol,First Owner,Manual,2016,5.0,72692.0,17.8,1497.0,1173.0,6.85,Honda City
2016 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,2016,Comprehensive,Petrol,Second Owner,Automatic,2016,5.0,47463.0,15.63,1499.0,1104.0,6.33,Ford Ecosport
2022 Mercedes-Benz GLC 200,2022,Zero Dep,Petrol,First Owner,Automatic,2022,5.0,7651.0,12.74,1991.0,197.0,61.0,Mercedes-Benz GLC
2014 Honda City i VTEC VX,2014,Comprehensive,Petrol,First Owner,Manual,2014,5.0,69348.0,17.8,1497.0,1173.0,6.19,Honda City
2016 Jaguar XJ 3.0L Portfolio,2016,Comprehensive,Diesel,First Owner,Automatic,2016,5.0,40000.0,14.47,2993.0,30173.0,32.5,Jaguar XJ
2020 Land Rover Range Rover Velar P250 R-Dynamic SE,2020,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,18000.0,15.8,1997.0,247.0,80.0,Land Rover
2013 Hyundai Santro Xing GLS CNG,2013,Third Party,CNG,Second Owner,Manual,2013,5.0,40000.0,11.88,1086.0,621.0,2.1,Hyundai Santro
2016 Mercedes-Benz GLS 350d 4MATIC,2016,Comprehensive,Diesel,First Owner,Automatic,2016,7.0,84000.0,11.0,2987.0,258.0,46.21,Mercedes-Benz GLS
2013 Maruti Wagon R VXi BSII,2013,Comprehensive,Petrol,First Owner,Manual,2013,5.0,62411.0,998.0,671.0,90.0,2.9,Maruti Wagon
2022 Maruti Brezza Zxi Plus BSVI,2022,Third Party,Petrol,First Owner,Manual,2022,5.0,22711.0,19.89,1462.0,10165.0,11.35,Maruti Brezza
2014 Hyundai Grand i10 Sportz,2014,Comprehensive,Petrol,First Owner,Manual,2014,5.0,90576.0,18.9,1197.0,82.0,3.37,Hyundai Grand
2018 Mercedes-Benz E-Class E 350d,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,44000.0,17.0,2987.0,2548.0,44.0,Mercedes-Benz E-Class
2017 Maruti Swift LXI Option,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,49000.0,1197.0,8180.0,113.0,4.25,Maruti Swift
2019 Hyundai Venue SX Turbo,2020,Comprehensive,Petrol,First Owner,Manual,2019,5.0,40678.0,18.27,998.0,11835.0,9.24,Hyundai Venue
2012 Maruti Wagon R LX BS IV,2012,Comprehensive,Petrol,First Owner,Manual,2012,5.0,32000.0,998.0,6704.0,90.0,2.2,Maruti Wagon
2020 Maruti Ertiga ZXI Plus,2020,Comprehensive,Petrol,First Owner,Manual,2020,7.0,27500.0,19.01,1462.0,10326.0,10.5,Maruti Ertiga
2018 Hyundai i20 Sportz 1.2,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,92539.0,18.6,1197.0,8183.0,5.28,Hyundai i20
2021 BMW 3 Series Gran Limousine 330Li M Sport First Edition,2021,Comprehensive,Petrol,First Owner,Automatic,2021,5.0,21000.0,15.3,1998.0,25479.0,48.0,BMW 3
2020 Maruti Baleno 1.2 Zeta,2020,Comprehensive,Petrol,First Owner,Manual,2020,5.0,6000.0,21.4,1197.0,831.0,6.95,Maruti Baleno
2022 Mahindra XUV700 AX7 AT Luxury Pack,2022,Comprehensive,Petrol,First Owner,Automatic,2022,7.0,5000.0,1999.0,19713.0,380.0,26.5,Mahindra XUV700
2019 Tata Tiago XZ Plus,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,16570.0,23.84,1199.0,8383.0,5.23,Tata Tiago
2022 Maruti Wagon R VXI,2022,Comprehensive,Petrol,First Owner,Manual,2022,5.0,11000.0,21.79,998.0,6705.0,5.75,Maruti Wagon
2017 Honda WR-V i-VTEC VX,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,39791.0,17.5,1199.0,887.0,6.92,Honda WR-V
2017 Mahindra XUV500 W8 2WD,2017,Comprehensive,Diesel,First Owner,Manual,2017,7.0,138000.0,16.0,2179.0,140.0,6.95,Mahindra XUV500
2023 Mercedes-Benz G G 63 AMG,2023,Comprehensive,Petrol,First Owner,Automatic,2023,5.0,3000.0,8.13,3982.0,57663.0,4.0,Mercedes-Benz G
2012 Maruti Swift Dzire LXI,2012,Comprehensive,Petrol,First Owner,Manual,2012,5.0,94176.0,1197.0,8850.0,113.0,2.67,Maruti Swift
2023 Porsche Cayenne 3.6 S Platinum Edition,2023,Comprehensive,Petrol,First Owner,Automatic,2023,5.0,11000.0,12.5,3604.0,420.0,1.47,Porsche Cayenne
2019 Kia Seltos GTK,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,30000.0,16.1,1353.0,138.0,13.25,Kia Seltos
2021 Volkswagen Taigun 1.5 TSI GT BSVI,2022,Comprehensive,Petrol,First Owner,Manual,2021,5.0,49594.0,18.47,1498.0,14751.0,13.37,Volkswagen Taigun
2012 Volkswagen Polo Petrol Comfortline 1.2L,2012,Comprehensive,Petrol,First Owner,Manual,2012,5.0,60000.0,16.47,1198.0,739.0,2.7,Volkswagen Polo
2015 Honda Brio S MT,2016,Comprehensive,Petrol,First Owner,Manual,2015,5.0,76441.0,19.4,1198.0,868.0,3.26,Honda Brio
2014 Mercedes-Benz M-Class ML 350 CDI,2014,Third Party,Diesel,Second Owner,Automatic,2014,5.0,75000.0,11.74,2987.0,2548.0,17.75,Mercedes-Benz M-Class
2017 Maruti Wagon R VXI AMT,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,53000.0,21.79,998.0,6705.0,3.95,Maruti Wagon
2017 Hyundai Creta 1.6 Gamma SX Plus,2017,Comprehensive,Petrol,First Owner,Manual,2017,5.0,56572.0,15.29,1591.0,1213.0,9.31,Hyundai Creta
2018 Maruti Baleno Alpha,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,27210.0,21.01,1197.0,8180.0,6.0,Maruti Baleno
2017 Mercedes-Benz GLE 400 4MATIC,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,56000.0,9.7,2996.0,32855.0,45.75,Mercedes-Benz GLE
2014 Hyundai i20 Asta 1.2,2014,Comprehensive,Petrol,First Owner,Manual,2014,5.0,62677.0,18.6,1197.0,8183.0,4.92,Hyundai i20
2023 Maruti Baleno Delta,2023,Comprehensive,Petrol,First Owner,Manual,2023,5.0,18000.0,22.35,1197.0,8850.0,7.5,Maruti Baleno
2019 BMW 5 Series 520d Luxury Line,2019,Comprehensive,Diesel,First Owner,Automatic,2019,5.0,35000.0,20.37,1995.0,18774.0,45.0,BMW 5
